0.006,0.652
0.006,0.652
0.006,0.647
0.007,0.634
0.008,0.618
0.01,0.603
0.011,0.589
0.013,0.577
0.014,0.566
0.016,0.557
0.018,0.551
0.02,0.545
0.021,0.539
0.023,0.534
0.025,0.53
0.027,0.526
0.029,0.522
0.031,0.518
0.032,0.515
0.034,0.512
0.036,0.509
0.038,0.506
0.04,0.504
0.042,0.502
0.043,0.5
0.045,0.498
0.047,0.496
0.049,0.494
0.051,0.492
0.053,0.49
0.055,0.489
0.057,0.487
0.058,0.486
0.06,0.485
0.062,0.483
0.064,0.482
0.066,0.481
0.068,0.48
0.07,0.478
0.072,0.477
0.074,0.476
0.076,0.475
0.078,0.474
0.08,0.473
0.085,0.471
0.091,0.468
0.101,0.464
0.111,0.461
0.121,0.458
0.131,0.456
0.141,0.453
0.151,0.452
0.161,0.452
0.171,0.452
0.181,0.453
0.192,0.454
0.202,0.454
0.213,0.455
0.223,0.455
0.234,0.456
0.244,0.457
0.255,0.458
0.266,0.458
0.276,0.459
0.287,0.46
0.298,0.461
0.309,0.462
0.32,0.463
0.331,0.464
0.342,0.465
0.353,0.466
0.365,0.467
0.376,0.469
0.387,0.47
0.398,0.471
0.41,0.472
0.421,0.474
0.433,0.475
0.444,0.477
0.456,0.479
0.467,0.48
0.479,0.482
0.49,0.484
0.502,0.485
0.514,0.487
0.525,0.489
0.537,0.491
0.549,0.493
0.561,0.496
0.573,0.498
0.585,0.5
0.596,0.503
0.608,0.505
0.62,0.508
0.632,0.51
0.644,0.513
0.656,0.516
0.668,0.519
0.68,0.522
0.692,0.525
0.704,0.529
0.716,0.532
0.728,0.536
0.74,0.54
0.752,0.544
0.764,0.548
0.776,0.552
0.788,0.557
0.8,0.562
0.812,0.567
0.824,0.573
0.836,0.579
0.848,0.586
0.86,0.593
0.871,0.601
0.883,0.61
0.895,0.619
0.907,0.623
0.918,0.622
0.93,0.621
0.942,0.62
0.954,0.619
0.965,0.618
0.977,0.617
0.988,0.616
1,0.615
1.011,0.628
1.023,0.64
1.034,0.648
1.046,0.654
1.057,0.658
1.068,0.659
1.079,0.66
1.09,0.658
1.102,0.655
1.113,0.651
1.124,0.647
1.135,0.641
1.146,0.634
1.157,0.627
1.168,0.619
1.179,0.611
1.19,0.603
1.201,0.594
1.212,0.586
1.223,0.578
1.233,0.57
1.244,0.562
1.255,0.555
1.266,0.549
1.277,0.544
1.288,0.54
1.299,0.537
1.309,0.534
1.32,0.532
1.331,0.53
1.341,0.528
1.352,0.526
1.363,0.524
1.373,0.522
1.383,0.519
1.394,0.517
1.404,0.516
1.415,0.514
1.425,0.512
1.435,0.51
1.445,0.508
1.455,0.506
1.465,0.504
1.475,0.502
1.485,0.501
1.495,0.499
1.505,0.497
1.514,0.495
1.524,0.494
1.533,0.492
1.543,0.49
1.552,0.489
1.562,0.487
1.571,0.485
1.58,0.484
1.59,0.482
1.597,0.481
1.6,0.481
1.604,0.48
1.607,0.479
1.611,0.479
1.614,0.478
1.617,0.478
1.621,0.477
1.624,0.477
1.627,0.476
1.63,0.476
1.634,0.475
1.637,0.475
1.64,0.474
1.643,0.474
1.642,0.474
1.64,0.474
1.639,0.474
1.637,0.474
1.636,0.475
1.634,0.475
1.633,0.475
1.631,0.475
1.63,0.476
1.628,0.476
1.627,0.476
1.625,0.476
1.624,0.477
1.622,0.477
1.621,0.477
1.619,0.477
1.618,0.478
1.616,0.478
